SOC,Discharge Capacity,OCV
0.921,4.640899820175618,4.098049534535398
0.92,4.635865097953397,4.096870334141915
0.919,4.630830375731174,4.095692852001123
0.918,4.625795653508952,4.094517089093944
0.917,4.62076093128673,4.0933430427032444
0.916,4.6157262090645075,4.092170709671915
0.915,4.610691486842285,4.091000086449798
0.914,4.605656764620063,4.089831164933826
0.913,4.600622042397842,4.088663945417401
0.912,4.5955873201756186,4.087498426156652
0.911,4.590552597953396,4.0863346017448885
0.91,4.585517875731173,4.085172470373292
0.909,4.580483153508951,4.084012027339023
0.908,4.5754484312867305,4.082853269441999
0.907,4.570413709064507,4.081696197549308
0.906,4.565378986842285,4.080540808761869
0.905,4.560344264620063,4.079387100265192
0.904,4.555222736842285,4.078215224180033
0.903,4.550101209064508,4.077045067027128
0.902,4.545066486842285,4.075896432251702
0.901,4.540031764620064,4.07474946608398
0.9,4.534997042397841,4.073604163567752
0.899,4.529962320175618,4.072460523182922
0.898,4.524927597953396,4.071318540621395
0.897,4.519892875731174,4.070178213068546
0.896,4.5148581535089525,4.069039541628349
0.895,4.50982343128673,4.067902523796356
0.894,4.504788709064507,4.066767157096622
0.893,4.499753986842285,4.0656334376334495
0.892,4.494719264620063,4.064501359090236
0.891,4.489684542397841,4.063370923861392
0.89,4.484649820175618,4.062242128659634
0.889,4.479615097953397,4.061114970075133
0.888,4.474580375731174,4.059989446487953
0.887,4.469545653508952,4.058865552808839
0.886,4.46451093128673,4.057743289683211
0.885,4.4594762090645075,4.056622656601981
0.884,4.454441486842285,4.0555036513532
0.883,4.449406764620063,4.054386271774477
0.882,4.444372042397841,4.053270512420413
0.881,4.4393373201756186,4.052156370635265
0.88,4.434302597953396,4.0510438480763336
0.879,4.429267875731173,4.04993294025461
0.878,4.424233153508952,4.048823645898136
0.877,4.4191984312867305,4.047715962213793
0.876,4.414163709064507,4.046609885209931
0.875,4.409128986842285,4.045505416929216
0.874,4.404094264620063,4.044402555960102
0.873,4.399059542397841,4.043301300404763
0.872,4.394024820175619,4.042201648056118
0.871,4.388990097953395,4.041103592405136
0.87,4.383955375731174,4.040007134831584
0.869,4.378920653508953,4.0389122747224455
0.868,4.37388593128673,4.037819008098952
0.867,4.368851209064507,4.036727334311632
0.866,4.363816486842285,4.035637249988666
0.865,4.358781764620063,4.03454875316399
0.864,4.353747042397841,4.033461845705471
0.863,4.348625514620063,4.032357833028011
0.862,4.343503986842285,4.031255449344753
0.861,4.338469264620063,4.030173353699382
0.86,4.333434542397841,4.029092835913559
0.859,4.328399820175618,4.028013897649531
0.858,4.323365097953396,4.026936538493664
0.857,4.318330375731174,4.025860754778043
0.856,4.313295653508952,4.02478654605599
0.855,4.30826093128673,4.0237139092619625
0.854,4.3032262090645075,4.022642842692861
0.853,4.298191486842286,4.021573348418887
0.852,4.293156764620063,4.020505425003143
0.851,4.288122042397841,4.0194390710810755
0.85,4.2830873201756186,4.018374283912808
0.849,4.278052597953397,4.01731105849795
0.848,4.273017875731173,4.016249398013498
0.847,4.267983153508952,4.015189300279508
0.846,4.26294843128673,4.014130763045343
0.845,4.257913709064507,4.013073785694294
0.844,4.252878986842285,4.012018364269324
0.843,4.247844264620063,4.010964500327816
0.842,4.242809542397841,4.009912194341091
0.841,4.237774820175619,4.00886144510904
0.84,4.232740097953395,4.0078122514902015
0.839,4.227705375731174,4.006764609157957
0.838,4.222670653508953,4.0057185165314575
